camis,name,boro,cuisine,action,score,grade,rating,review_count,location.address1,coordinates.latitude,coordinates.longitude,ratings1
41689690,Haru Sushi,BROOKLYN,Chinese,violations,7,A,3.5,319,1 Wall St Ct,40.70548154,-74.00828362,****
50047846,1 or 8,BROOKLYN,Caribbean,violations,10,A,4,372,66 S 2nd St,40.714257,-73.965457,****
40513885,Anopoli Ice Cream Parlor and Family Restaurant,BROOKLYN,American,violations,7,A,3.5,137,6920 3rd Ave,40.63527433,-74.02636819,****
40720911,Anotheroom,MANHATTAN,American,no violations,0,B,4,148,249 W Broadway,40.7197516,-74.0056772,****
50064654,Anpanman Bakery Cafe,MANHATTAN,Chinese,violations,51,C,4,27,83 Canal St,40.7154579,-73.9930816,****
41560911,AnTalia NYC,MANHATTAN,Turkish,violations,12,A,4,352,17 W 45th St,40.755905,-73.980346,****
50036116,Antepli Baklava,BROOKLYN,Turkish,violations,12,A,4.5,41,7216 5th Ave,40.63137,-74.022163,*****
41495839,Anthis Greek Food,MANHATTAN,Greek,violations,16,B,4,117,614 Amsterdam Ave,40.79016933,-73.97345181,****
41231342,Scott's Pizza Tours,BRONX,Pizza,violations,20,B,5,251,,40.75024414,-73.99702454,*****
50012302,Atlas Cafe & Bakery,MANHATTAN,American,violations,10,A,3.5,446,73 2nd Ave,40.72650196,-73.98944212,****
50066067,Anthony's Restaurant,QUEENS,Other,violations,22,B,3,29,222-02 Union Tpke,40.73524,-73.74803,***
41320212,Anthony's Pizza,BRONX,Pizza,violations,21,B,4.5,20,686 Morris Park Ave,40.84505,-73.86628,*****
50051049,Anthony's Place,BROOKLYN,Pizza/Italian,violations,23,B,4,137,2812 Ocean Ave,40.5928522,-73.9505447,****
41285603,Gramercy Tavern,BROOKLYN,Spanish,violations,32,C,4.5,2456,42 E 20th St,40.738527,-73.988417,*****
50057332,Antica Ristorante,MANHATTAN,American,violations,10,A,4.5,372,8 Stone St,40.70393551,-74.01217318,*****
